iid,isbn_raw
0,0002251760
1,0003300277
2,0007110928
3,0007154615
4,000716226X
5,0020125305
6,0020198817
7,0020198906
8,0020199600
9,002026478X
10,0020264801
11,0020306652
12,0020418809
13,0020427115
14,0020427859
15,0020442009
16,0020442106
17,0020442203
18,0020442300
19,0020442408
20,0020442505
21,0020442602
22,0020446500
23,0020449313
24,0020518501
25,0020518609
26,0020518706
27,0020519001
28,0020532105
29,0020868308
30,002411510X
31,0024182001
32,002542730X
33,0028604199
34,0028604202
35,0044409494
36,0060001453
37,0060002050
38,0060002069
39,0060002077
40,0060002492
41,006000438X
42,0060005424
43,0060007192
44,0060007788
45,0060008024
46,0060008032
47,0060008776
48,0060009241
49,0060011912
50,006001203X
51,0060012331
52,0060012781
53,0060013117
54,0060013125
55,0060080841
56,0060081597
57,0060081961
58,0060083255
59,0060083298
60,0060083948
61,0060084405
62,006008460X
63,0060085444
64,0060085452
65,0060086246
66,0060086386
67,0060090367
68,0060090375
69,0060090383
70,0060092149
71,0060092645
72,0060092963
73,0060096195
74,0060096209
75,0060168013
76,006016848X
77,006017143X
78,0060171928
79,0060173289
80,0060175400
81,0060175680
82,0060175818
83,0060175966
84,006017613X
85,0060176156
86,0060176806
87,0060177500
88,0060177888
89,0060183225
90,0060184957
91,006018552X
92,0060186526
93,0060187271
94,0060188731
95,0060191538
96,0060191821
97,0060191929
98,0060191988
99,0060192119
100,0060192704
101,0060192895
102,0060193395
103,0060193611
104,006019443X
105,0060194448
106,0060194790
107,006019491X
108,0060194995
109,0060195460
110,0060195703
111,0060196092
112,0060196122
113,0060198125
114,0060198133
115,0060198303
116,0060198338
117,0060198346
118,0060198702
119,0060199652
120,0060234814
121,0060234970
122,0060248025
123,0060254920
124,0060256672
125,0060256737
126,0060275103
127,0060283130
128,0060294671
129,0060294698
130,006029471X
131,0060391448
132,0060391502
133,0060391553
134,0060391626
135,0060391677
136,0060391782
137,0060391839
138,0060392452
139,0060392827
140,0060392991
141,0060393009
142,0060393211
143,0060393823
144,006039384X
145,0060502258
146,0060504072
147,0060504080
148,0060505885
149,0060506679
150,0060506989
