iid,isbn_raw
0,0002251760
1,0003300277
2,0007110928
3,0007154615
4,0020198817
5,0020198906
6,0020199600
7,0020264801
8,0020418809
9,0020427859
10,0020442009
11,0020442106
12,0020442203
13,0020442300
14,0020442408
15,0020442505
16,0020442602
17,0020446500
18,0020518501
19,0020518609
20,0020518706
21,0020532105
22,0020868308
23,002542730X
24,0028604199
25,0028604202
26,0044409494
27,0060001453
28,0060002050
29,0060002069
30,0060002492
31,006000438X
32,006000469X
33,0060005424
34,0060007192
35,0060007788
36,0060008032
37,0060008776
38,0060009012
39,0060009241
40,0060011912
41,006001203X
42,0060012331
43,0060012781
44,0060013117
45,0060013125
46,006001315X
47,0060080841
48,0060083255
49,0060083263
50,0060083298
51,0060083948
52,0060084405
53,006008460X
54,0060085444
55,0060085452
56,0060086246
57,0060086386
58,0060090367
59,0060090375
60,0060090383
61,0060092645
62,0060092963
63,0060096195
64,0060096209
65,0060099453
66,0060168013
67,006016848X
68,006017143X
69,0060171928
70,0060172916
71,0060173289
72,0060175400
73,0060175818
74,0060175966
75,006017613X
76,0060176156
77,0060177500
78,0060184957
79,0060187271
80,0060188731
81,0060191929
82,0060191988
83,0060192119
84,0060192704
85,0060193395
86,006019443X
87,0060194448
88,0060194790
89,006019491X
90,0060194995
91,0060195703
92,0060196092
93,0060196122
94,0060198125
95,0060198133
96,0060198303
97,0060198702
98,0060199652
99,0060234814
100,0060248025
101,0060254920
102,0060256672
103,0060256737
104,0060275103
105,0060283130
106,0060294671
107,0060294698
108,006029471X
109,0060391448
110,0060391626
111,0060391839
112,0060392452
113,0060393009
114,0060502258
115,0060504072
116,0060504080
117,0060505885
118,0060506679
119,0060507772
120,0060507845
121,0060508302
122,006050918X
123,0060509392
124,0060511508
125,0060512806
126,0060512822
127,0060513640
128,0060514930
129,0060514957
130,0060516283
131,0060517794
132,0060519134
133,0060520507
134,0060529148
135,0060531231
136,0060532149
137,0060533986
138,006053429X
139,0060540753
140,0060542128
141,0060542845
142,0060548215
143,0060548258
144,0060549270
145,0060557257
146,0060557540
147,0060557818
148,0060558121
149,0060558199
150,0060558865
